id_didok;id_fli;id_sloid;name_official;name_long;name_short;name_alternative;lang;stations_metastation;wgs84_e;wgs84_n;wgs84_h;wgs84_epsg;local_e;local_n;local_h;local_epsg;station_priority;km_info;stations_metastation_hrdf;source_file;timestamp;metastation_id
8591361;;ch:1:sloid:91361;Zürich, Seidelhof;;;;;;8.483729;47.391923;0;EPSG:4326;2678904;1249536;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904213;335
8591363;;ch:1:sloid:91363;Zürich, Siemens;;;;;8591035,8591363;8.494019;47.378463;0;EPSG:4326;2679701;1248050;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904222;336
8591364;;ch:1:sloid:91364;Zürich, Signaustrasse;;;;;;8.557623;47.363230;0;EPSG:4326;2684528;1246423;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904227;337
8591367;;ch:1:sloid:91367;Zürich, Sihlpost/HB;;;;;;8.534203;47.376093;0;EPSG:4326;2682739;1247828;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904241;338
8591368;;ch:1:sloid:91368;Zürich, Sihlquai/HB;;ZHSI;;;8503000,8503088,8587348,8587349,8591067,8591368,8596126;8.537605;47.379875;0;EPSG:4326;2682990;1248252;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904246;339
8591369;;ch:1:sloid:91369;Zürich, Sihlstrasse;;;;;8503090,8591064,8591369,8591381;8.534574;47.372267;0;EPSG:4326;2682773;1247403;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904250;340
8591370;;ch:1:sloid:91370;Zürich, Sihlweidstrasse;;;;;;8.514661;47.326417;0;EPSG:4326;2681339;1242285;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904255;341
8591372;;ch:1:sloid:91372;Zürich, Solidapark;;;;;;8.488495;47.387725;0;EPSG:4326;2679270;1249074;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904264;342
8591373;;ch:1:sloid:91373;Zürich, Sonneggstrasse;;;;;;8.543692;47.382839;0;EPSG:4326;2683445;1248588;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904268;343
8591374;;ch:1:sloid:91374;Zürich, Sportweg;;;;;;8.505857;47.391622;0;EPSG:4326;2680575;1249525;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904272;344
8591375;;ch:1:sloid:91375;Zürich, Sprecherstrasse;;;;;;8.552258;47.367492;0;EPSG:4326;2684116;1246891;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904277;345
8591376;;ch:1:sloid:91376;Zürich, Spyriplatz;;;;;;8.551983;47.382281;0;EPSG:4326;2684072;1248535;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904281;346
8591377;;ch:1:sloid:91377;Zürich, Spyristeig;;;;;;8.556199;47.386254;0;EPSG:4326;2684384;1248981;0;EPSG:2056;;;;OeV_Sammlung_CH_HRDF_5_40_41_2024_20240110_201500;2024-06-04T20:26:09.904286;347
